"","zone","treatment","plotid","pinTemp_mean","pinTemp_se","aboveTemp_mean","aboveTemp_se","airTemp_mean","airTemp_se","lagTemp_mean","lagTemp_se","deepTemp_mean","deepTemp_se","surfaceTemp_mean","surfaceTemp_se","rh_avg_mean","rh_avg_se","vp_avg_mean","vp_avg_se","wind_speed_avg_mean","wind_speed_avg_se"
"1","Pioneer zone","ambient",110,18.0952832240921,0.252961171362093,19.5695153885648,0.54344736518632,19.0847114083542,0.495611108933966,18.1858893486345,0.260081893073958,16.6531444870739,0.093360652788918,18.3767100942877,0.365982192345108,72.6077304988345,1.29494588870862,1.62987556689977,0.0637738613393699,2.84312197902098,0.209655981581706
"2","Pioneer zone","ambient",120,17.9225625050806,0.237628758884108,19.6097975884604,0.513749053151015,18.2105103983765,0.402357146353562,17.8141940652871,0.241203807511529,16.4426390185166,0.0821374852310111,18.0821380565426,0.356131499556515,72.6077304988345,1.29494588870862,1.62987556689977,0.0637738613393699,2.84312197902098,0.209655981581706
"3","Pioneer zone","ambient",130,18.1784884682158,0.25511128201708,19.7388278311966,0.528915933649322,18.3799426900828,0.403418553770675,18.0169687333066,0.250365858741868,17.2311777911325,0.0870614676552185,18.2116626535791,0.361156581546088,72.6077304988345,1.29494588870862,1.62987556689977,0.0637738613393699,2.84312197902098,0.209655981581706
"4","Pioneer zone","+1.5°C",111,19.5914408714813,0.244342371731922,20.1196746562616,0.540236536030704,19.5640377130946,0.500351278577649,19.2888907656598,0.238651329380603,17.9199855176979,0.0921035186152543,19.7022760231702,0.355497950284962,72.6077304988345,1.29494588870862,1.62987556689977,0.0637738613393699,2.84312197902098,0.209655981581706
"5","Pioneer zone","+1.5°C",121,19.4853062386572,0.239663180335631,20.0866571817907,0.538892931223069,19.3335701939501,0.503602955624303,19.032649761993,0.252862656037301,17.6128960001845,0.103220319777255,19.7672930032396,0.35588411121321,72.6077304988345,1.29494588870862,1.62987556689977,0.0637738613393699,2.84312197902098,0.209655981581706
"6","Pioneer zone","+1.5°C",131,19.6946830562233,0.256575803551984,20.0257873263889,0.521621346078434,19.3762178395578,0.504953637358553,19.614417855235,0.253316046718438,17.6781700420673,0.0882074767050934,19.7366389523237,0.355578447360335,72.6077304988345,1.29494588870862,1.62987556689977,0.0637738613393699,2.84312197902098,0.209655981581706
"7","Pioneer zone","+3.0°C",112,21.0291052624968,0.245386787237746,21.5373815429683,0.528884260615717,20.0870695152491,0.520661872991587,20.6665841928791,0.234042044819806,19.7440359350568,0.10585648461472,20.8648156562018,0.338861684964625,72.6077304988345,1.29494588870862,1.62987556689977,0.0637738613393699,2.84312197902098,0.209655981581706
"8","Pioneer zone","+3.0°C",122,21.0748186064405,0.249649753402526,20.4967983009633,0.52966250778577,19.6309006498554,0.513812103568941,20.524919463745,0.241256007782098,18.968273556229,0.0830988265168201,21.195968926836,0.35342057697184,72.6077304988345,1.29494588870862,1.62987556689977,0.0637738613393699,2.84312197902098,0.209655981581706
"9","Pioneer zone","+3.0°C",132,20.7258810272314,0.211791595199119,20.4721642156684,0.515713600437541,19.569926782906,0.492788090409747,20.7741408486614,0.21594299569224,19.6552161878515,0.199578929290896,21.2496328726095,0.3535904155768,72.6077304988345,1.29494588870862,1.62987556689977,0.0637738613393699,2.84312197902098,0.209655981581706
"10","Low marsh","ambient",240,17.8630985148212,0.229423359664672,19.3831261624903,0.562527314961655,19.0347347107486,0.482470925615184,18.2136400950985,0.18340384841843,16.4323733267472,0.0887767049577767,18.3268550236625,0.355544568110602,72.3148986375977,1.22818817766413,1.62810178318936,0.0633457270485826,2.80042923392294,0.21267385693706
"11","Low marsh","ambient",250,17.4489756989426,0.209095059063415,19.4577194532151,0.559439441843451,19.218341030634,0.514766017040513,17.4594307642845,0.215181471369546,16.4126197921281,0.0858062367217236,17.8694096096354,0.352923821859759,72.3148986375977,1.22818817766413,1.62810178318936,0.0633457270485826,2.80042923392294,0.21267385693706
"12","Low marsh","ambient",260,17.9534241384064,0.238804951266421,19.4688708043981,0.721913123244315,19.1832078112076,0.524182853387304,18.236668764245,0.22061158458574,16.7620179090846,0.105887614068536,19.1750597301361,0.424809221670781,72.3148986375977,1.22818817766413,1.62810178318936,0.0633457270485826,2.80042923392294,0.21267385693706
"13","Low marsh","+1.5°C",241,19.2577495795268,0.220806575223473,20.3156850981488,0.565336475146199,19.4949543715525,0.512919634437152,18.9351101600063,0.214942106686633,17.6175240034722,0.0890473908695975,19.8483585838751,0.37321080590868,72.3120876205646,1.21647018070677,1.63043932973323,0.063907946428442,2.84718899080549,0.210903248249331
"14","Low marsh","+1.5°C",251,18.5264508410778,0.303596233456565,19.6395215999332,0.817925952286031,19.1304207041266,0.753389252986191,17.9361273187313,0.339523334047232,16.8431678192013,0.0499245387780801,19.2422143906782,0.641066101276917,72.3120876205646,1.21647018070677,1.63043932973323,0.063907946428442,2.84718899080549,0.210903248249331
"15","Low marsh","+1.5°C",261,17.3918486904799,0.096710718344849,17.4535871036592,0.414546721990352,16.6359065472534,0.364263712873544,17.3365383097576,0.083259643440872,17.0101727947457,0.0721667724889443,17.3759286906606,0.146265885219367,72.3120876205646,1.21647018070677,1.63043932973323,0.063907946428442,2.84718899080549,0.210903248249331
"16","Low marsh","+3.0°C",242,20.7293786721275,0.219404684919664,20.4304099031488,0.563403327148175,19.6355533824804,0.521768677373647,20.6986570631924,0.232238655688691,19.0585675252622,0.0871614258787725,20.8747704599625,0.337741745828375,72.4398043908555,1.25842685945005,1.63005637629617,0.0638211266151382,2.8440355991038,0.209144451960048
"17","Low marsh","+3.0°C",252,20.7132534766135,0.218229226434021,20.4699892356191,0.552959312182718,19.0770115734019,0.539982512155062,20.3743103448413,0.214980782399224,19.2819512835664,0.0810143964349108,21.0483055611636,0.361811663483686,72.4398043908555,1.25842685945005,1.63005637629617,0.0638211266151382,2.8440355991038,0.209144451960048
"18","Low marsh","+3.0°C",262,20.6657595949413,0.221239622586915,20.9975937394442,0.621304671836848,19.6492250685648,0.557261003203167,20.0358283190648,0.196783721253903,18.5753315113415,0.0967555864752392,21.1471646131755,0.374971562670731,72.4398043908555,1.25842685945005,1.63005637629617,0.0638211266151382,2.8440355991038,0.209144451960048
